ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
131,Formigal,42.7741349,-0.3608611,Spain,Europe,44,November - April,2251,1501,47,70,20,137,6,440,9,11,0,20,29450,Yes,Yes,No,No
162,La Molina-Masella-Alp2500,42.3427392,1.9562059,Spain,Europe,45,November - April,2531,1616,76,47,18,141,0,1010,19,13,1,33,39750,Yes,Yes,Yes,No
125,Sierra Nevada-Pradollano,37.0957512,-3.387885004,Spain,Europe,47,November - May,3282,2100,50,49,7,106,0,350,5,14,2,21,59205,Yes,Yes,Yes,No
341,Lindvallen-Hogfjallet-Salen,61.159705,13.193609,Sweden,Europe,41,November - May,887,579,22,17,3,42,5,0,49,4,0,53,50505,Yes,Yes,Yes,No
344,Tandadalen-Hundfjallet-Salen,61.1792462,12.9919443,Sweden,Europe,41,November - May,872,572,18,15,12,45,3,0,42,4,0,46,42636,Yes,Yes,Yes,No
210,Åre,63.4010888,13.0822241,Sweden,Europe,45,November - May,1274,380,45,38,8,91,6,0,27,5,4,36,39000,Yes,Yes,Yes,No
219,Adelboden-Lenk-Chuenisbargli-Silleren-Hahnenmoos-Metsch,46.4927213,7.5587618,Switzerland,Europe,55,December - April,1260,1072,44,38,6,88,6,500,12,8,6,26,34620,Yes,Yes,Yes,No
183,Aletsch Arena-Riederalp-Bettmeralp-Fiesch Eggishorn,46.3895305,8.0609271,Switzerland,Europe,53,December - April,1845,759,42,50,12,104,4,258,18,8,12,38,41109,Yes,Yes,Yes,No
139,Arosa Lenzerheide,46.7548885,9.566024408,Switzerland,Europe,63,October - April,2865,1229,111,87,27,225,4,0,24,18,8,50,63936,Yes,Yes,Yes,No
134,Cervinia,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,0,1060,21,22,20,63,93464,Yes,Yes,No,Yes
176,Corvatsch-Furtschellas,46.4450516,9.819511761,Switzerland,Europe,69,November - May,3303,1797,13,89,17,119,9,0,5,6,3,14,18510,Yes,Yes,Yes,No
137,Crans-Montana,46.3304899,7.526435804,Switzerland,Europe,60,November - April,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,Yes,No,No
230,Grimentz-Zinal,46.1776631,7.5744978,Switzerland,Europe,51,December - April,2900,1570,26,28,26,80,0,96,13,5,3,21,19345,Yes,Yes,No,No
76,Kleine Scheidegg / Mannlichen-Grindelwald / Wengen,46.5850987,7.9608968,Switzerland,Europe,55,November - April,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,No,No,No
157,Laax-Flims-Falera,46.849618,9.217180661,Switzerland,Europe,68,October - April,3018,1100,88,81,19,188,14,300,13,9,11,33,46116,Yes,Yes,No,No
143,Nendaz (4 Vallees),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
174,Obersaxen-Mundaun-Val Lumnezia,46.7487613,9.1022712,Switzerland,Europe,51,December - April,2310,1201,60,40,20,120,15,297,10,9,0,19,20720,Yes,Yes,Yes,No
201,Parsenn (Davos Klosters),46.842102,9.835342208,Switzerland,Europe,61,November - April,2844,810,20,60,16,96,12,169,4,6,8,18,26795,Yes,Yes,No,No
220,Rinderberg-Saanerslochgrat-Horneggli-Zweisimmen-Saanenmoser-Schonried-St. Stephan,46.9463748,8.0499977,Switzerland,Europe,54,December - April,2011,948,62,21,4,87,0,0,9,8,4,21,18360,Yes,Yes,Yes,No
128,Saas-Fee,46.107342,7.9247055,Switzerland,Europe,63,July - April,3573,1800,20,60,20,100,14,102,14,2,9,25,25160,Yes,Yes,No,Yes
257,Savognin,46.596957,9.5981493,Switzerland,Europe,50,December - April,2713,1200,32,38,0,70,11,100,10,2,1,13,14000,Yes,Yes,Yes,No
141,St. Moritz - Corviglia,46.5079945,9.818959,Switzerland,Europe,69,November - April,3057,1720,42,79,34,155,6,170,11,12,5,28,31220,Yes,Yes,No,No
145,Thyon (4 Vallees),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
247,Titlis-Engelberg,46.8228773,8.400657035,Switzerland,Europe,57,October - May,3020,1000,34,26,12,72,12,180,7,6,7,20,23316,Yes,Yes,No,No
140,Verbier (4 Vallees),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
146,Veysonnaz (4 Vallees),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
144,Villars - Gryon / Les Diablerets,46.3289335,7.1096087,Switzerland,Europe,54,December - April,2120,1224,51,45,4,100,0,0,20,9,4,33,38905,Yes,Yes,No,No
15,Zermatt - Matterhorn,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,Yes,Yes,No,Yes
95,Glencoe Mountain,56.68154175,-5.10644312,United Kingdom,Europe,35,December - April,1070,360,7,10,7,24,0,0,6,2,0,8,5800,Yes,No,No,No
405,Glenshee,56.7410308,-3.3999352,United Kingdom,Europe,33,December - April,900,650,24,10,2,36,0,6,18,3,0,21,16255,Yes,No,No,No
28,Nevis Range,56.8522081,-4.9987681,United Kingdom,Europe,36,December - April,655,91,7,10,3,20,0,0,8,3,1,12,10350,Yes,No,No,No
